attribute,group_value,n_applicants,default_rate,parity_diff,disparate_impact_ratio,passes_parity,passes_4_5ths_rule
CODE_GENDER,F,32824,0.06897392152083841,0.10259694887620822,0.0,False,False
CODE_GENDER,M,17174,0.10259694887620822,0.10259694887620822,0.0,False,False
CODE_GENDER,XNA,2,0.0,0.10259694887620822,0.0,False,False
age_band,<30,7335,0.11206543967280164,0.05509661129587581,0.5083532313196484,False,False
age_band,30-50,25919,0.08680890466453181,0.05509661129587581,0.5083532313196484,False,False
age_band,>50,16746,0.05696882837692583,0.05509661129587581,0.5083532313196484,False,False
